state,location,notices,workers,reason
KS,4 - Workforce Investment Area IV,788,76853,no matching place
KS,4 - Workforce Alliance,362,52166,no matching place
KS,3 - Workforce Investment Area III,295,32802,no matching place
KS,3 - Workforce Partnership,204,24204,no matching place
IL,"O'HARE INTERNATIONAL AIRPORT CHICAGO, IL 60666",5,19889,no matching place
KS,1 - Workforce Investment Area I,473,19651,no matching place
OK,05 - CentralRegion,148,19360,no matching place
CT,"82-E Buckland St, Manchester CT / 112-118 Boston Post Road, Orange, CT / 15 Backus Ave, Space 13-15, Danbury CT",2,18496,3 distinct places named
KS,2 - Workforce Investment Area II,221,16846,no matching place
NJ,Chicago,1,16000,no matching place
OH,Various Cities/Various Counties,32,13680,no matching place
WA,Various locations in Washington,36,12495,no matching place
VT,00 - Vermont Workforce Investment Area,281,12328,no matching place
KS,5 - Workforce Investment Area V,165,11950,no matching place
WA,Puget Sound Area,13,10039,no matching place
WA,Nationwide,1,9266,no matching place
MO,Multiple Locations,24,8683,no matching place
WA,Puget Sound,50,8474,no matching place
CO,Pikes Peak,55,7786,no matching place
FL,Statewide,30,7411,no matching place
NJ,STATEWIDE,35,7139,no matching place
KS,1 - Kansas WorkforceONE,76,6853,no matching place
MI,Statewide,29,6309,no matching place
VA,Dulles VA,14,5352,no matching place
TX,DFW Airport,14,4598,no matching place
IL,"VARIOUS ADDRESSES SPRINGFIELD, IL 62701",3,4438,no matching place
OK,07 - NorthEastRegion,45,4420,no matching place
IN,Statewide,9,4395,no matching place
TX,Sabine Pass,3,4203,no matching place
ME,3 - Central Western Local Area 3,104,4196,no matching place
MI,Various,5,4121,no matching place
ME,4 - Coastal Counties Local Area 4,105,3901,no matching place
OK,06 - SouthCentralRegion,38,3900,no matching place
FL,STATEWIDE,6,3771,no matching place
IN,Gary and Portage,1,3765,2 distinct places named
IL,"3345 MSSQ/MSC BLDG 242 CHANUTE AIR BASE, IL 61868-5000",1,3750,no matching place
OK,08 - SouthernRegion,37,3679,no matching place
WA,"Seattle, Bellevue",8,3491,2 distinct places named
GA,Fort Benning,16,3467,no matching place
TN,ARNOLD AFB,2,3361,no matching place
SC,Statewide,6,3316,no matching place
IL,"Multiple Cook County sites Cook County, IL 60610",1,3244,no matching place
MI,"Dearborn, Michigan; Farmington Hills, Michigan; Grosse Pointe, Michigan; Royal Oak, Michigan; Southfield, Michigan; Taylor, Michigan; Trenton, Michigan; Troy, Michigan; and Wayne, Michigan",1,2900,8 distinct places named
OK,03 - EastCentralRegion,16,2864,no matching place
CA,Pebble Beach,4,2749,no matching place
OK,09 - SouthEastRegion,11,2699,no matching place
MA,"Cambridge, Boston",25,2687,2 distinct places named
LA,Statewide,2,2537,no matching place
MD,"7002 Arundel Mills Circle Hanover, MD 21076",1,2400,no matching place
AZ,6 - Pima County Workforce Investment Board,16,2377,no matching place
MI,"Ann Arbor, Michigan; Birmingham, Michigan; Canton, Michigan; Clarkston, Michigan; Flint, Michigan; Grand Rapids, Michigan; Grandville, Michigan; Jackson, Michigan; Kalamazoo, Michigan; Kentwood, Michigan; Lansing, Michigan; Livonia, Michigan; Madison Heights, Michigan; Novi, Michigan; Okemos, Michigan; Portage, Michigan; Roseville, Michigan; Saginaw, Michigan, Shelby Township, Michigan; Southfield, Michigan, Southgate, Michigan; Sterling Heights, Michigan; Traverse City, Michigan; and Troy, Michigan",1,2289,23 distinct places named
CO,Rural Consortium,22,2286,no matching place
WI,"Brookfield, Eau Claire, Glendale, Greendale, Janesville, Madison, Marshfield, Milwaukee, Racine, Wauwatosa",1,2255,10 distinct places named
WA,Western Washington,2,2195,no matching place
WA,"Redmond, Bellevue, Issaquah",3,2184,3 distinct places named
ME,1 - Northeastern Workforce Board,78,2180,no matching place
WA,"Seattle, Kent",2,2177,2 distinct places named
AZ,Laveen,1,2137,no matching place
CA,Carmel,12,2110,no matching place
WA,Statewide,12,2055,no matching place
OH,Statewide,3,2020,no matching place
MD,"1430 Sparrows Point Blvd., Sparrows Point, MD",1,1975,no matching place
KY,Out of the State County,13,1962,no matching place
OK,02 - SouthWestRegion,13,1958,no matching place
CA,South San,19,1903,no matching place
CA,Yosemite National Park,2,1874,no matching place
WI,"Milwaukee, Wabeno, Crandon",1,1835,2 distinct places named
KY,Out of the Area County,4,1826,no matching place
MO,St. Louis & Springfield,1,1810,2 distinct places named
NJ,Lawrence Twp,9,1770,no matching place
GA,Statewide,3,1768,no matching place
IL,"263 Shuman Blvd., Naperville 60563 800 W. Bryn Mawr Itasca, IL 60143",1,1750,no matching place
WI,multiple,3,1725,no matching place
CA,Yosemite National,1,1718,no matching place
WI,"Abbotsford, Adams, Appleton, Arcadia, Ashwaubenon, Beaver Dam, Chippewa Falls, Clintonville, De Pere, Eagle River, Eau Claire, Fond du Lac, Fort Atkinson, Green Bay, Janesville, La Crosse, Lancaster, Marshfield, Mequon, Monroe, Neillsville, Oconto, Onalaska, Oshkosh, Park Falls, Reedsburg, Rice Lake, River Falls, Rothschild, Sister Bay, Spooner, Stanley, Suamico, Tomahawk, Waukesha, Wausau, Wautoma, Wisconsin Rapids",1,1715,38 distinct places named
CO,Arapahoe/Douglas (Centennial),2,1700,2 distinct places named
CO,Rural Resort,27,1671,no matching place
UT,Statewide,4,1666,no matching place
WA,Redmond and Bellevue,3,1665,2 distinct places named
MI,"Detroit, Michigan and Troy, Michigan",1,1656,2 distinct places named
IA,Weaver,1,1606,no matching place
WA,"Seatac, Seattle",1,1583,2 distinct places named
WI,"Appleton, Greenville, Kimberly, Neenah",1,1546,3 distinct places named
NC,Winston-,5,1482,no matching place
VA,Ringgold VA,7,1477,no matching place
IN,"Merrillville, Mishawaka, Fort Wayne, Kokomo, Greenwood, Muncie, Terre Haute, Bloomington, Clarksville, Evansville and Indianapolis",1,1448,11 distinct places named
CA,Funner,1,1440,no matching place
CA,YOSEMITE NATIONAL PA,2,1430,no matching place
KS,same,6,1423,no matching place
LA,"2650 Louisiana Avenue, Bldg. 4386 Fort Polk, LA 71459",5,1422,no matching place
AZ,City of Commerce,1,1400,no matching place
GA,McRae,3,1371,no matching place
OK,04 - NorthCentralRegion,13,1350,no matching place
CA,Edwards,9,1321,no matching place
MI,"Auburn Hills, Michigan; Birmingham, Michigan; Detroit, Michigan; Farmington Hills, Michigan; Holly, Michigan; Livonia, Michigan; Milford, Michigan; Oscoda, Michigan; Plymouth, Michigan; Mt. Clemens, Michigan; Royal Oak, Michigan; Southgate, Michigan; and St. Clair Shores, Michigan",1,1318,12 distinct places named
MI,"Belmont, Michigan; Grand Rapids, Michigan; Grandville, Michigan; Lowell, Michigan; Middleville, Michigan; and Wyoming, Michigan",1,1295,5 distinct places named
IL,"960 W. Dundee Road (HQ) COVID-19 Statewide Event Arlington Heights, IL 60004",1,1263,no matching place
IL,"BUILDING 140 FORT SHERIDAN, IL 60037-5000",1,1225,no matching place
CO,Arapahoe Douglas,10,1215,no matching place
WA,4 sites,2,1200,no matching place
VA,Statewide VA,5,1169,no matching place
GA,Rabun Gap,4,1150,no matching place
VA,"Alexandria, Arlington, Fairfax, Falls Church & Vienna VA",1,1141,5 distinct places named
CA,Olympic Valley,4,1139,no matching place
NJ,"Company Location: Philadelphia, PA Affected Employees: Throughout NJ",1,1122,no matching place
TX,Sheppard AFB,6,1101,no matching place
IL,"439 E 31st Street, Suite 212 2929 S Ellis Chicago, IL 60616-4000",1,1100,no matching place
WI,"Waukesha, Menomonee Falls, Greenfield, Wauwatosa, New Berlin, Mukwonago",1,1100,5 distinct places named
PA,York and Philadelphia,1,1096,2 distinct places named
GA,Ellenwood,5,1072,no matching place
LA,"5100 Legacy Drive Plano, TX 75024",1,1021,no matching place
MA,"Boston, Chestnut Hill & Framingham",1,1019,2 distinct places named
MD,"1430 Sparrows Point Boulevard, Sparrows Point, MD",1,1012,no matching place
NV,"Las Vegas/Reno, Clark/Washoe",3,1010,2 distinct places named
WI,"Arcadia, Augusta, Barron, Black River Falls, Chetek, Chippewa Falls, Cornell, Eau Claire, Galesville, Hayward, La Crosse, Ladysmith, Neillsville, Rice Lake, Richland Center, Shell Lake, Spencer, Stanley, Tomah, Whitehall",1,1008,20 distinct places named
IL,"OHARE INTERNATIONAL AIRPORT CHICAGO, IL 60666",2,1005,no matching place
FL,32815,7,1001,no place name in the string
FL,FL 32815,7,1001,no place name in the string
NY,Maspeth,8,1000,no matching place
IL,"PO BOX 94 ALBERS, IL 62215",3,998,no matching place
CA,OLYMPIC VALLEY,4,995,no matching place
PA,"Bucks, Delaware, Montgomery and Philadelphia",1,983,2 distinct places named
CA,TAHOE CITY,2,979,no matching place
MI,"Alpine, Michigan; Burton, Michigan; Grand Rapids, Michigan; Lansing, Michigan; Novi, Michigan; Shelby Township, Michigan; and Warren, Michigan",1,979,6 distinct places named
CA,Rancho,21,975,no matching place
GA,"Various Remote Locations - See Attached Letter, See Attached Letter, See Attached Letter, Georgia",1,973,no matching place
IL,"Multiple DuPage County sites DuPage County, IL 60514",1,970,no matching place
GA,Midland,6,965,no matching place
CA,MCCLELLAN AFB,10,963,no matching place
CT,Greater Hartford Area,1,952,no matching place
CT,Various Hartford locations,1,952,no matching place
MD,"47123 Buse Rd. #540 Patuxent River, MD 20670",1,937,no matching place
IL,"OHare International Airport Terminal 2, Gate F4 CHICAGO, IL 60666",2,935,no matching place
OR,"Portland, Eugene, Medford, Salem",1,919,4 distinct places named
NY,Buffalo/Amherst/Kenmore/Lancaster/Lockport/Niagara,1,909,4 distinct places named
KS,5800 SW 6th/3630 SW Burlingam Rd,1,900,no matching place
NC,Research,1,900,no matching place
OR,"Los Angeles, CA",2,900,no matching place
CA,OAKLAND AIRPORT,8,895,no matching place
WA,"Bothell, Redmond",23,894,2 distinct places named
WA,Bangor,2,887,no matching place
WI,Wilmot,3,884,no matching place
MO,Earth City,8,877,no matching place
WA,Malaga,3,874,no matching place
AL,Adger,3,872,no matching place
NJ,NO. BRUNSWICK,6,870,no matching place
OR,"San Francisco, CA",4,863,no matching place
OH,Hamilton (Butler),8,857,2 distinct places named
MN,Bentonville,2,840,no matching place
WI,"Waukesha, Oconomowoc, Mukwonago, Brookfield, New Berlin, Delafield, Pewaukee, Watertown, Muskego, Waterford, Sussex, Hartland",1,835,10 distinct places named
OH,"Steubenville, Mingo Junction, Yorkville (Jefferson)",1,831,3 distinct places named
AZ,9 - Yuma County Workforce Investment Board,6,830,no matching place
TN,"Davidson, Sevier, and Williamson County",1,830,no matching place
WI,"Green Bay, Brussels, Suring",1,829,2 distinct places named
FL,33069,2,824,no place name in the string
IL,"Chicago O'Hare Airport P.O. Box 66297 Chicago, IL 60666",1,821,no matching place
OH,Massillion,2,814,no matching place
NJ,Monroe Township,3,812,no matching place
IL,"PO BOX 516 ST. LOUIS, MO 63166-0516",2,803,no matching place
OH,Cleveland & Ashtabula (Cuyahoga & Ashtabula),1,803,2 distinct places named
OH,Sandusky/ErieMason/Warren,1,802,2 distinct places named
NJ,NEWARK/JERSEY CITY,1,800,2 distinct places named
CO,Jeffco (Tri-County),2,792,no matching place
